gene	name	location	somatic	germline	tumour.type.somatic	tumour.type.germline	syndrome	tissue.type	inheritance	cancer.role	impact	chr	Mut.class	nseqs	seqlength	dN	dS	dNdS	lhM1	lhM2	lrtM1M2	padjM1M2	lhM8a	lhM8	lrtM8aM8	padjM8aM8	PSS_M2	PSS_M8	PS
HLF	hepatic leukemia factor	17:55265486-55320880	yes	no	ALL			L	Dom	"oncogene, fusion"	T	17	somatic	28	296	0.1685	3.8765	0.04348	-4692.956365	-4692.956365	1	1	-4675.476555	-4675.361553	0.631520862566402	1	0	0	No
HMGA1	high mobility group AT-hook 1	6:34240781-34244884	yes	no	"microfollicular thyroid adenoma, various benign mesenchymal tumours"			E,M	Dom	"oncogene, fusion"	T	6	somatic	15	108	0.2426	3.6493	0.06648	-1415.246023	-1415.245998	0.994358151199918	1	-1409.588293	-1409.588722	1	1	0	0	No
HMGA2	high mobility group AT-hook 2 (HMGIC)	12:65825271-65963292	yes	no	"lipoma, leiomyoma, pleomorphic salivary gland adenoma"			M	Dom	"oncogene, fusion"	T	12	somatic	16	110	1.3026	4.0345	0.32287	-2044.561054	-2044.085358	0.329365228633671	1	-2044.7409	-2044.210277	0.302931173228766	1	0	0	No
HNF1A	HNF1 homeobox A	12:120978769-121001192	yes	yes	"hepatic adenoma, hepatocellular"	"hepatic adenoma, hepatocellular carcinoma"	familial hepatic adenoma	E	Rec	TSG	"Mis, F"	12	som&germ	26	632	0.4175	8.3379	0.05007	-13106.910533	-13106.910643	1	1	-13017.098859	-13017.098863	1	1	0	1	No
HOOK3	hook homolog 3	8:42897132-43018498	yes	no	papillary thyroid			E	Dom	fusion	T	8	somatic	28	719	0.2814	5.2312	0.0538	-13622.443435	-13622.443435	1	1	-13549.863644	-13549.731036	0.606559126009077	1	0	2	No
HOXA11	homeo box A11	7:27182796-27185144	yes	no	CML			L	Dom	"oncogene, TSG, fusion"	T	7	somatic	29	314	0.51	4.4861	0.11368	-5817.755184	-5817.755184	1	1	-5769.830138	-5768.90083	0.172784618711287	0.716284589523806	0	0	No
HOXA13	homeo box A13	7:27198198-27200077	yes	no	AML			L	Dom	"oncogene, fusion"	T	7	somatic	19	254	0.1311	3.8842	0.03375	-3029.010248	-3029.010248	1	1	-3019.748743	-3019.748743	1	1	0	0	No
HOXA9	homeo box A9	7:27163603-27165457	yes	no	AML*			L	Dom	"oncogene, TSG, fusion"	T	7	somatic	19	273	0.4133	4.6098	0.08966	-4240.699895	-4240.699895	1	1	-4228.584325	-4228.584325	1	1	0	0	No
HOXC11	homeo box C11	12:53973243-53975414	yes	no	AML			L	Dom	"oncogene, fusion"	T	12	somatic	22	306	0.4112	2.583	0.15919	-4386.952298	-4386.952298	1	1	-4378.791718	-4379.06537	1	1	0	0	No
HOXC13	homeo box C13	12:53938908-53945257	yes	no	AML			L	Dom	"oncogene, fusion"	T	12	somatic	18	329	0.2069	5.8693	0.03525	-3943.884883	-3943.884883	1	1	-3887.200768	-3886.44671	0.219426793271239	0.856156327317244	0	1	No
HRAS	v-Ha-ras Harvey rat sarcoma viral oncogene homolog	11:532636-534322	yes	yes	"infrequent sarcomas, rare other tumour types"	"rhabdomyosarcoma, ganglioneuroblastoma, bladder"	Costello syndrome	E,L,M	Dom	oncogene	Mis	11	som&germ	24	190	0.2969	10.9602	0.02709	-3479.86724	-3479.86724	1	1	-3419.445848	-3419.446429	1	1	0	0	No
HSP90AB1	"heat shock protein 90kDa alpha (cytosolic), class B member 1"	6:44248630-44253598	yes	no	NHL			L	Dom	fusion	T	6	somatic	21	725	0.0673	4.2691	0.01576	-10085.134456	-10085.134504	1	1	-10072.97208	-10073.685313	1	1	0	0	No
IDH1	"isocitrate dehydrogenase 1 (NADP+), soluble"	2:208237079-208251551	yes	no	glioblastoma			O	Dom	oncogene	Mis	2	somatic	28	415	0.3965	5.115	0.07751	-8659.497946	-8659.497946	1	1	-8631.205907	-8631.205907	1	1	0	0	No
IDH2	"isocitrate dehydrogenase 2 (NADP+), mitochondrial"	15:90084266-90102390	yes	no	glioblastoma			O	Dom	oncogene	Mis	15	somatic	29	453	0.4253	12.2705	0.03466	-10061.560556	-10061.560556	1	1	-9919.794931	-9919.794931	1	1	0	0	No
IKBKB	"inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta"	8:42272100-42330979	yes	no	SMZL			L	Dom	oncogene	Mis	8	somatic	25	757	0.485	6.4448	0.07525	-17187.512008	-17187.512263	1	1	-17090.405523	-17090.405523	1	1	0	1	No
IKZF1	IKAROS family zinc finger 1	7:50319062-50400628	yes	no	"ALL, DLBCL"			L	Dom/Rec	"TSG, fusion"	"D,T"	7	somatic	23	520	0.432	5.2716	0.08195	-9557.962434	-9557.962664	1	1	-9469.742232	-9469.742232	1	1	0	0	No
IL2	interleukin 2	4:122451752-122456440	yes	no	intestinal T-cell lymphoma			L	Dom	fusion	T	4	somatic	29	155	2.5889	3.4607	0.7481	-5313.613698	-5303.084731	4.45603904120073e-06	5.72732076766094e-05	-5312.481282	-5302.798807	1.07970640216282e-05	0.000162700585429362	2	3	Yes
IL21R	interleukin 21 receptor	16:27430073-27449284	yes	no	NHL			L	Dom	fusion	T	16	somatic	25	544	2.4913	9.3985	0.26508	-19672.68201	-19672.68201	1	1	-19549.057214	-19544.41836	0.00231959497263723	0.0187715370933791	1	3	No
IL6ST	"interleukin 6 signal transducer (gp130, oncostatin M receptor)"	5:55941082-55976278	yes	no	hepatocellular carcinoma			E	Dom	oncogene	O	5	somatic	26	920	1.214	5.4578	0.22243	-24397.168899	-24397.168899	1	1	-24254.822094	-24253.957876	0.188610758094958	0.75617340630731	0	1	No
IL7R	interleukin 7 receptor	5:35856978-35876486	yes	no	"ALL, ETP ALL"			L	Dom	oncogene	"Mis, O"	5	somatic	26	460	2.149	4.8162	0.4462	-14514.364513	-14510.561568	0.00581779406437677	0.0462250182933209	-14486.482479	-14480.907833	0.00084063750499408	0.00765330395171693	0	5	Yes
IRF4	interferon regulatory factor 4	6:393154-407599	yes	no	MM			L	Dom	"oncogene, TSG, fusion"	T	6	somatic	28	452	0.6958	12.0588	0.0577	-10691.258286	-10691.258286	1	1	-10589.647085	-10598.934587	1	1	0	0	No
ITK	IL2-inducible T-cell kinase	5:157180978-157252678	yes	no	peripheral T-cell lymphoma			L	Dom	fusion	T	5	somatic	27	621	0.3112	5.5626	0.05594	-12189.989106	-12189.989123	1	1	-12096.833045	-12096.833045	1	1	0	1	No
JAK2	Janus kinase 2	9:5021988-5126791	yes	no	"ALL, AML, MPN,  CML"			L	Dom	"oncogene, fusion"	"T, Mis, O"	9	somatic	30	1133	0.342	4.7243	0.07239	-21309.272318	-21309.272321	1	1	-21181.569468	-21181.569468	1	1	0	3	No
JAK3	Janus kinase 3	19:17826743-17844417	yes	no	"acute megakaryocytic leukaemia, ETP ALL"			L	Dom	oncogene	Mis	19	somatic	23	1105	1.0701	10.7945	0.09914	-29879.175143	-29879.175143	1	1	-29672.932629	-29672.932629	1	1	0	0	No
KAT6A	K(lysine) acetyltransferase 6A	8:-	yes	no	AML			L	Dom	"oncogene, fusion"	"T, A"	8	somatic	20	2004	0.3599	2.9672	0.1213	-30787.6161	-30787.6161	1	1	-30711.429707	-30711.41414	0.85994176768518	1	0	2	No
KAT6B	K(lysine) acetyltransferase 6B	10:74842858-75031046	yes	no	"AML, leiomyoma"			L,M	Dom	"TSG, fusion"	T	10	somatic	26	2069	0.3607	3.4095	0.10578	-32849.803373	-32849.803373	1	1	-32738.922428	-32738.663415	0.471684950992008	1	0	6	No
KCNJ5	"potassium inwardly-rectifying channel; subfamily J; member 5"	11:128911274-128916731	yes	no	adrenal adenoma			E	Dom	oncogene	Mis	11	somatic	32	420	0.437	9.75	0.04482	-9971.261247	-9971.261247	1	1	-9833.549346	-9833.549346	1	1	0	0	No
KDM5A	"lysine (K)-specific demethylase 5A, JARID1A"	12:285456-389091	yes	no	AML			L	Dom	"oncogene, fusion"	T	12	somatic	24	1691	0.2009	3.8545	0.05211	-27285.748199	-27285.748199	1	1	-27151.886984	-27151.886984	1	1	0	0	No
KDM5C	lysine (K)-specific demethylase 5C (JARID1C)	X:53192967-53224889	yes	no	clear cell renal carcinoma			E	Rec	TSG	"N, F, S, Mis"	X	somatic	27	1561	0.3679	5.468	0.06727	-28164.546467	-28164.546667	1	1	-28017.344944	-28017.344944	1	1	0	3	No
KDM6A	"lysine (K)-specific demethylase 6A, UTX"	X:44873552-45111411	yes	no	"renal cell carcinoma, bladder carcinoma, oesophageal SCC, MM, medulloblastoma, T-ALL, other tumour types"			E,L	Rec	"oncogene, TSG"	"D, N, F, S"	X	somatic	26	1402	0.1935	1.6184	0.11956	-16542.834782	-16538.952194	0.00532631065574951	0.0431036621585655	-16516.809241	-16510.960667	0.000625959672694631	0.0062169176583535	0	3	Yes
KDR	vascular endothelial growth factor receptor 2	4:55079941-55125293	yes	yes	"NSCLC, angiosarcoma"	melanoma		E	Dom	oncogene	Mis	4	som&germ	30	1357	0.8255	5.9132	0.1396	-34832.874751	-34832.874751	1	1	-34601.274476	-34601.274476	1	1	0	5	No
KDSR	3-ketodihydrosphingosine reductase	18:63331782-63367118	yes	no	B-NHL			L	Dom	fusion	T	18	somatic	16	333	0.544	4.5374	0.1199	-6109.148295	-6109.148295	1	1	-6075.129685	-6075.129496	0.984488328390914	1	0	0	No
KEAP1	kelch like ECH associated protein 1	19:10486652-10500033	yes	no	"NSCLC, breast carcinoma"			E		TSG	"Mis, N, F"	19	somatic	28	625	0.3031	13.9149	0.02178	-12912.22051	-12912.22051	1	1	-12739.571628	-12739.571628	1	1	0	0	No
KIT	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog	4:54658015-54738557	yes	yes	"GIST, AML, TGCT, mastocytosis, mucosal melanoma"	"GIST, epithelioma"	familial gastrointestinal stromal tumour	L,M,O,E	Dom	oncogene	"Mis, O"	4	som&germ	17	977	0.8109	5.737	0.14135	-20000.241857	-20000.241857	1	1	-19860.172438	-19860.172438	1	1	0	0	No
KLF4	Kruppel-like factor 4	9:107485751-107489172	yes	no	meningioma			O	Dom	"oncogene, TSG"	Mis	9	somatic	26	486	0.6988	6.7043	0.10424	-10640.06294	-10640.062986	1	1	-10627.193615	-10627.193615	1	1	0	0	No
KLF6	Kruppel-like factor 6	10:3779539-3785014	yes	no	"prostate, glioma"			E,O	Rec	TSG	"Mis, N"	10	somatic	28	292	0.6173	6.0338	0.10231	-6712.385447	-6712.385447	1	1	-6679.26042	-6679.246435	0.867179371708782	1	0	1	No
KMT2A	lysine (K)-specific methyltransferase 2A	11:118436513-118522172	yes	no	"AML, ALL"			L	Dom	"oncogene, fusion"	"T, O"	11	somatic	24	3963	0.434	3.6495	0.11893	-72422.4333	-72422.43329	0.996431763057836	1	-72146.742052	-72146.743408	1	1	0	1	No
KTN1	kinectin 1 (kinesin receptor)	14:55612050-55680691	yes	no	papillary thyroid			E	Dom	fusion	T	14	somatic	27	1358	0.7272	3.4535	0.21057	-27581.265853	-27565.903131	2.97241703473006e-08	5.90430110989561e-07	-27521.853689	-27507.468957	8.15264366016422e-08	1.90135203847475e-06	5	6	Yes
LASP1	LIM and SH3 protein 1	17:38870190-38918778	yes	no	AML			L	Dom	fusion	T	17	somatic	26	262	0.2232	7.5971	0.02937	-4156.042249	-4156.042263	1	1	-4123.477717	-4123.477717	1	1	0	0	No
LCK	lymphocyte-specific protein tyrosine kinase	1:32274330-32285716	yes	no	T-ALL			L	Dom	"oncogene, fusion"	T	1	somatic	21	510	0.4846	11.381	0.04258	-9516.218661	-9516.21866	0.998871621018033	1	-9446.339007	-9446.339007	1	1	0	1	No
LIFR	leukemia inhibitory factor receptor	5:38481595-38530647	yes	no	salivary adenoma			E	Dom	fusion	T	5	somatic	29	1098	1.4597	6.9607	0.20971	-33705.174506	-33705.174506	1	1	-33471.912492	-33470.747881	0.126965319606693	0.549344996714106	0	4	No
LMNA	lamin A/C	1:156114919-156139106	yes	no	Spitzoid tumour			E	Dom	fusion	T	1	somatic	13	665	0.072	3.149	0.02287	-6735.703032	-6735.703036	1	1	-6721.274279	-6721.274272	0.997014596187777	1	0	0	No
LPP	LIM domain containing preferred translocation partner in lipoma	3:188406122-188874480	yes	no	"lipoma, leukaemia"			L,M	Dom	"oncogene, fusion"	T	3	somatic	29	613	0.7956	5.9447	0.13382	-15764.505337	-15764.505348	1	1	-15665.100641	-15665.100639	0.998404231672128	1	0	0	No
LRIG3	leucine-rich repeats and immunoglobulin-like domains 3	12:58872572-58920235	yes	no	NSCLC			E	Dom	"TSG, fusion"	T	12	somatic	26	1120	0.6996	5.6933	0.12288	-26954.087405	-26954.087406	1	1	-26714.974982	-26714.974983	1	1	0	0	No
LYL1	lymphoblastic leukemia derived sequence 1	19:13099319-13101171	yes	no	T-ALL			L	Dom	"oncogene, fusion"	T	19	somatic	24	280	1.2586	8.3345	0.15102	-7502.075647	-7502.075647	1	1	-7436.694034	-7431.096635	0.000820269667896056	0.00762676265682078	1	1	Yes
LZTR1	leucine-zipper-like transcription regulator 1	22:20982372-20997348	yes	yes	glioblastoma	"glioblastoma, schwannoma"	Schwannomatosis-2	E	Dom	TSG	"Mis, F, N"	22	som&germ	27	841	0.3085	9.5767	0.03222	-17192.11976	-17192.119855	1	1	-17082.085389	-17082.085389	1	1	0	0	No
MAF	v-maf musculoaponeurotic fibrosarcoma oncogene homolog	16:79594460-79599902	yes	no	MM			L	Dom	"oncogene, fusion"	T	16	somatic	12	400	0.2571	3.5743	0.07193	-3663.510664	-3663.510664	1	1	-3640.916408	-3640.882092	0.793339098681477	1	0	0	No
MALT1	mucosa associated lymphoid tissue lymphoma translocation gene 1	18:58671645-58747843	yes	no	MALT			L	Dom	"oncogene, fusion"	T	18	somatic	13	829	0.3461	2.2775	0.15198	-11014.861292	-11014.861292	1	1	-10988.76069	-10988.365797	0.374164842237877	1	0	0	No
MAML2	mastermind-like 2 (Drosophila)	11:95978948-96341895	yes	no	salivary gland mucoepidermoid			E	Dom	"oncogene, fusion"	T	11	somatic	25	968	1.0447	4.7019	0.22218	-22356.478545	-22356.478545	1	1	-22250.316544	-22248.844061	0.0861455119413821	0.39838818010246	0	0	No
MAP2K1	mitogen-activated protein kinase kinase 1	15:66387348-66490615	yes	no	"NSCLC, melanoma, colorectal"			E	Dom	oncogene	Mis	15	somatic	29	394	0.3622	7.9576	0.04552	-8007.970254	-8007.970254	1	1	-7967.180712	-7967.180712	1	1	0	0	No
MAP2K2	mitogen-activated protein kinase kinase 2	19:4090598-4123875	yes	no	"NSCLC, melanoma"			E	Dom	oncogene	Mis	19	somatic	14	401	0.296	6.8379	0.04329	-6391.983741	-6391.983748	1	1	-6289.255662	-6289.255662	1	1	0	0	No
MAP3K1	"mitogen-activated protein kinase kinase kinase 1, E3 ubiquitin protein ligase"	5:56152434-56189507	yes	no	luminal A breast			E	Rec	"oncogene, TSG"	"N, F, Mis, O, S"	5	somatic	27	1509	0.5025	4.6547	0.10795	-30034.878168	-30034.878168	1	1	-29902.794695	-29902.794695	1	1	0	1	No
MAPK1	mitogen-activated protein kinase 1	22:21769204-21867440	yes	no	"CLL, ovarian mixed germ cell tumour, cervical carcinoma"			E,L	Dom	oncogene	Mis	22	somatic	17	361	0.1793	2.9066	0.06168	-4707.789078	-4707.129203	0.250636922792598	1	-4705.107486	-4704.412163	0.238296036002261	0.894108101913425	0	2	No
MDM2	Mdm2 p53 binding protein homolog	12:68808478-68839849	yes	no	"sarcoma, glioma, colorectal, other tumour types"			M,O,E,L	Dom	oncogene	A	12	somatic	24	492	1.112	6.2223	0.17871	-11880.77468	-11880.77468	1	1	-11814.874895	-11814.874895	1	1	0	1	No
MDM4	Mdm4 p53 binding protein homolog	1:204525519-204549682	yes	no	"glioblastoma, bladder, retinoblastoma"			M	Dom	oncogene	A	1	somatic	13	492	0.4005	1.7826	0.22465	-6129.180053	-6129.180053	1	1	-6124.254268	-6123.184181	0.143485616066067	0.608769070105546	0	0	No
MECOM	MDS1 and EVI1 complex locus	3:169084909-169131477	yes	no	"AML, CML, MDS"			L	Dom	"oncogene, fusion"	T	3	somatic	12	1052	0.1038	1.2742	0.0815	-9642.73762	-9642.73762	1	1	-9639.302142	-9638.294205	0.155661611895743	0.654078119215766	0	2	No
MED12	mediator complex subunit 12	X:71118755-71142218	yes	no	"uterine leiomyoma, fibroadenoma, phyllodes tumour"			M,E	Dom	TSG	"Mis, S, O"	X	somatic	13	2184	0.1991	2.0567	0.09682	-24832.764374	-24816.735874	1.49714662889266e-08	3.27126538413047e-07	-24799.440253	-24776.983138	2.05856443002972e-11	8.17811505384534e-10	1	15	Yes
MEN1	multiple endocrine neoplasia type 1 gene	11:64804334-64810109	yes	yes	"parathyroid tumours, pancreatic neuroendocrine tumour"	"parathyroid adenoma, pituitary adenoma, pancreatic islet cell, carcinoid"	multiple endocrine neoplasia type 1	E	Rec	TSG	"D, Mis, N, F, S"	11	som&germ	24	611	0.2136	5.5584	0.03843	-10923.141487	-10923.141503	1	1	-10860.20699	-10860.20699	1	1	0	0	No
MET	met proto-oncogene (hepatocyte growth factor receptor)	7:116699085-116796124	yes	no	"papillary renal, head-neck squamous cell"	papillary renal	familial papillary renal cancer	E	Dom	oncogene	Mis	7	somatic	22	1383	0.5156	3.8397	0.13427	-27142.060215	-27142.060215	1	1	-27028.213849	-27028.151666	0.724346619831315	1	0	0	No
MLH1	E.coli MutL homolog gene	3:36993548-37050653	yes	yes	"colorectal, endometrial, ovarian, CNS tumours"	"colorectal, endometrial, ovarian, CNS"	"hereditary non-polyposis colorectal cancer, Turcot syndrome"	E,O	Rec	TSG	"D, Mis, N, F, S"	3	som&germ	29	759	0.9978	6.847	0.14573	-20093.789644	-20093.789644	1	1	-20002.556352	-20002.556352	1	1	0	2	No
MLLT1	"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 1 (ENL)"	19:6213042-6279784	yes	no	AL			L	Dom	fusion	T	19	somatic	25	557	0.6185	10.0172	0.06175	-13195.567153	-13195.567233	1	1	-13031.173461	-13031.173461	1	1	0	1	No
MLLT10	"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 10 (AF10)"	10:21534646-21740235	yes	no	AL			L	Dom	"oncogene, fusion"	T	10	somatic	11	1071	0.2851	1.8008	0.15833	-11842.398946	-11842.398946	1	1	-11807.625437	-11807.625437	1	1	0	0	No
MLLT11	"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 11"	1:151039702-151040970	yes	no	ALL			L	Dom	fusion	T	1	somatic	23	NA	0.6942	3.4487	0.20129	-1819.491825	-1819.491825	1	1	-1807.952505	-1805.58283	0.0294802075784255	0.161035633897149	0	1	No
MLLT3	"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 3 (AF9)"	9:20346443-20622256	yes	no	ALL			L	Dom	fusion	T	9	somatic	22	570	0.3183	2.9265	0.10877	-7502.458667	-7502.458667	1	1	-7494.606678	-7497.605019	1	1	0	0	No
MLLT6	"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 6 (AF17)"	17:36861887-36881852	yes	no	AL			L	Dom	fusion	T	17	somatic	26	1096	0.6455	4.9643	0.13002	-23519.681096	-23515.495786	0.00381335501899116	0.0320468489095988	-23413.979869	-23407.105662	0.000208997208943518	0.00222760439776384	0	4	Yes
MN1	meningioma (disrupted in balanced translocation) 1	22:27750915-27800543	yes	no	"AML, meningioma"			L,O	Dom	"oncogene, fusion"	T	22	somatic	22	1315	0.3518	5.0768	0.06929	-22615.347731	-22615.348068	1	1	-22515.022884	-22515.022884	1	1	0	0	No
MPL	"myeloproliferative leukaemia virus oncogene, thrombopoietin receptor"	1:43337849-43352772	yes	yes	MPN	MPN	familial essential thrombocythemia	L	Dom	oncogene	Mis	1	som&germ	23	636	0.9697	2.7319	0.35494	-13861.566907	-13861.566907	1	1	-13838.417871	-13837.063172	0.0997586308566834	0.449428058601759	0	0	No
MSH2	mutS homolog 2 (E. coli)	2:47403192-47482949	yes	yes	"colorectal, endometrial, ovarian"	"colorectal, endometrial, ovarian"	hereditary non-polyposis colorectal cancer	E	Rec	TSG	"D, Mis, N, F, S"	2	som&germ	28	935	0.6179	5.0646	0.12201	-21699.177537	-21699.177537	1	1	-21577.674284	-21573.664402	0.00462695993027451	0.0347457912621743	0	4	No
MSH6	mutS homolog 6 (E. coli)	2:47783234-47806860	yes	yes	colorectal	"colorectal, endometrial, ovarian"	hereditary non-polyposis colorectal cancer	E	Rec	TSG	"Mis, N, F, S"	2	som&germ	24	1363	0.7011	4.5569	0.15385	-27819.135617	-27819.135617	1	1	-27713.587611	-27713.587611	1	1	0	6	No
MSN	moesin	X:65667842-65739893	yes	no	ALCL			L	Dom	fusion	T	X	somatic	26	578	0.3627	7.6044	0.04769	-11160.364461	-11160.364461	1	1	-11091.570882	-11091.570882	1	1	0	1	No
MYB	v-myb myeloblastosis viral oncogene homolog	6:135181514-135217980	yes	no	adenoid cystic carcinoma			E	Dom	"oncogene, fusion"	T	6	somatic	25	762	0.5654	3.2892	0.1719	-14696.314123	-14696.314359	1	1	-14636.293926	-14635.167677	0.133398906993528	0.571522768197764	0	1	No
MYC	v-myc myelocytomatosis viral oncogene homolog (avian)	8:127738263-127740958	yes	no	"Burkitt lymphoma, amplified in other cancers, B-CLL"			L,E	Dom	"oncogene, fusion"	"A, T"	8	somatic	28	454	0.5765	7.6904	0.07496	-10075.347693	-10075.347693	1	1	-9960.810875	-9957.641059	0.011806937466381	0.0737090238972639	1	2	No
MYCL	v-myc avian myelocytomatosis viral oncogene lung carcinoma derived homolog	1:39900814-39901434	yes	no	small cell lung carcinoma			E	Dom	oncogene	A	1	somatic	31	383	0.7893	5.517	0.14306	-9076.779312	-9076.779312	1	1	-9052.190461	-9052.190461	1	1	0	1	No
MYD88	myeloid differentiation primary response gene (88)	3:38138662-38141286	yes	no	ABC-DLBCL			L	Dom	oncogene	Mis	3	somatic	26	297	0.7847	6.1973	0.12662	-7134.202138	-7134.202138	1	1	-7083.350198	-7083.350203	1	1	0	1	No
MYH11	"myosin, heavy polypeptide 11, smooth muscle"	16:15708811-15838252	yes	no	AML			L	Dom	fusion	T	16	somatic	26	1980	0.2535	7.7048	0.0329	-39188.130817	-39188.139394	1	1	-38861.218397	-38861.218394	0.998045593946007	1	1	6	No
MYH9	"myosin, heavy polypeptide 9, non-muscle"	22:36282668-36349236	yes	no	ALCL			L	Dom	"TSG, fusion"	T	22	somatic	28	1961	0.1807	10.3517	0.01746	-36717.113255	-36717.113283	1	1	-36356.825904	-36356.842033	1	1	0	0	No
MYOD1	myogenic differentiation 1	11:17719783-17721508	yes	no	embryonal rhabdomyosarcoma			M	Dom	oncogene	Mis	11	somatic	29	320	0.6624	10.2095	0.06488	-8017.448905	-8017.448905	1	1	-7888.073552	-7888.073552	1	1	0	0	No
NAB2	NGFI-A binding protein 2	12:57089272-57094721	yes	no	"solitary fibrous tumour, meningeal haemangiopericytoma"			M,O	Dom	"TSG, fusion"	T	12	somatic	27	526	0.2203	4.1883	0.05259	-9103.392123	-9103.392122	0.998871621018033	1	-9068.676477	-9068.676477	1	1	0	1	No
NBN	nibrin	8:89935582-89984561	no	yes		"NHL, glioma, medulloblastoma, rhabdomyosarcoma"	Nijmegen breakage syndrome	L,E,M,O	Rec	TSG	"Mis, N, F"	8	germinal	15	756	0.7502	2.1367	0.35111	-11472.10127	-11472.10127	1	1	-11463.338281	-11459.373363	0.00486262041601837	0.0354160853633338	0	2	No
NCOA1	nuclear receptor coactivator 1	2:24658678-24768391	yes	no	alveolar rhabdomyosarcoma			M	Dom	fusion	T	2	somatic	29	1442	0.8352	6.1308	0.13624	-29430.461271	-29430.46127	0.998871621018033	1	-29291.034915	-29291.034915	1	1	0	0	No
NCOA2	nuclear receptor coactivator 2 (TIF2)	8:70113632-70216745	yes	no	"AML, chondrosarcoma, rhabdomyosarcoma"			L,M	Dom	"oncogene, fusion"	T	8	somatic	25	1465	0.2705	3.0614	0.08837	-23688.31673	-23688.31688	1	1	-23627.121362	-23627.121362	1	1	0	1	No
NCOA4	nuclear receptor coactivator 4 - PTC3 (ELE1)	10:51579142-51586417	yes	no	papillary thyroid			E	Dom	"TSG, fusion"	T	10	somatic	25	626	1.6399	5.2596	0.3118	-18473.306281	-18458.041544	3.28832572282778e-08	6.24781887337278e-07	-18403.831049	-18391.778011	9.11721698249046e-07	1.59368952853933e-05	4	4	Yes
NCOR1	nuclear receptor corepressor 1	17:16032296-16194569	yes	no	breast			E	Rec	TSG	"Mis, F, N, O"	17	somatic	29	2456	0.5553	5.1915	0.10697	-56621.218083	-56621.218085	1	1	-56217.915253	-56217.915254	1	1	0	3	No
NCOR2	nuclear receptor corepressor 2	12:124325402-124495251	yes	no	prostate			E	Dom	TSG	"Mis, F, N, O"	12	somatic	25	2526	1.0556	11.6616	0.09052	-68741.439606	-68741.439614	1	1	-68059.77116	-68059.771159	0.998871616913025	1	0	2	No
NDRG1	N-myc downstream regulated 1	8:133238878-133284311	yes	no	prostate			E	Dom	"TSG, fusion"	T	8	somatic	27	395	0.2978	8.0918	0.0368	-7468.816041	-7468.816083	1	1	-7407.587328	-7407.587328	1	1	0	0	No
NF1	neurofibromatosis type 1 gene	17:31095310-31374155	yes	yes	"neurofibroma, glioma"	"neurofibroma, glioma"	neurofibromatosis type 1	O	Rec	"TSG, fusion"	"D, Mis, N, F, S, O"	17	som&germ	25	2842	0.1468	3.5403	0.04146	-41456.367647	-41456.37648	1	1	-41323.100173	-41323.100173	1	1	0	3	No
NFATC2	"nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 2"	20:51391396-51542499	yes	no	Ewing sarcoma			M	Dom	"oncogene, fusion"	T	20	somatic	22	926	0.6542	6.4601	0.10126	-19959.894255	-19959.894578	1	1	-19803.878049	-19800.336713	0.00778328663608463	0.0539888295233172	0	3	No
NFE2L2	nuclear factor (erythroid-derived 2)-like 2 (NRF2)	2:177230785-177264576	yes	no	"NSCLC, HNSCC"			E	Dom	"oncogene, TSG"	Mis	2	somatic	31	608	1.2644	5.3635	0.23574	-16463.071143	-16463.071143	1	1	-16395.289205	-16388.068545	0.000144594710482671	0.00157969721202318	0	3	Yes
NFIB	nuclear factor I/B	9:14088309-14313511	yes	no	"adenoid cystic carcinoma, lipoma"			E	Dom	fusion	T	9	somatic	19	571	0.0374	1.1728	0.03187	-4993.706416	-4993.706417	1	1	-4991.858576	-4991.858586	1	1	0	1	No
NFKB2	nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100)	10:102395960-102402376	yes	no	B-NHL			L	Dom	"oncogene, TSG, fusion"	T	10	somatic	26	901	0.4967	4.5147	0.11002	-18744.279858	-18744.279858	1	1	-18630.648481	-18630.648481	1	1	0	1	No
NFKBIE	"nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, epsilon"	6:44259219-44265763	yes	no	"CLL, desmoplastic melanoma"			L,E	Dom/Rec	TSG	"F, Mis"	6	somatic	27	363	0.8277	5.9261	0.13968	-9165.418483	-9165.418483	1	1	-9120.377602	-9120.377602	1	1	0	0	No
NIN	ninein (GSK3B interacting protein)	14:50725872-50822056	yes	no	MPN			L	Dom	fusion	T	14	somatic	23	2138	1.1458	3.7286	0.3073	-50063.151237	-50027.534531	0	0	-49972.573754	-49938.056317	1.11022302462516e-16	8.08612436268656e-15	11	25	Yes
